sub107_1,sub107_2,sub107_3,sub107_4,sub107_5,sub107_6,sub107_7,sub107_9,sub108_2,sub108_3,sub109_1,sub109_2,sub109_3,sub109_4,sub109_5,sub109_6,sub109_7,sub109_8,sub109_9,sub110_1,sub110_2,sub110_4,sub110_5,sub110_6,sub110_7,sub110_9,sub111_1,sub111_2,sub111_5,sub111_7,sub111_9,sub112_1,sub112_2,sub112_3,sub112_4,sub112_5,sub112_6,sub112_7,sub112_9,sub113_1,sub113_2,sub113_3,sub113_4,sub113_5,sub113_6,sub113_7,sub113_8,sub113_9,sub114_5,sub114_7
-0.138170249563226,-0.0984080966992795,-0.0862912152857767,-0.0566537388416041,-0.156607672489432,-0.125783755805144,-0.124026429499401,-0.121036704405002,0.0577910590479596,-0.00936564031547141,-0.249482642258742,-0.306894727706858,-0.277536666137456,-0.320285724404042,-0.296706580183481,-0.253011878167666,-0.183029563931355,-0.2104985836052,-0.180474402032892,-0.135187326639979,-0.252273286549995,0.0242823491026265,-0.209401549083566,-0.125978145332035,-0.167019549928083,-0.0734790345898501,-0.111189138530709,-0.0271242039855291,-0.0815370312492954,-0.0309130033457361,-0.00244334279356085,-0.0936822097164537,-0.103008729200387,-0.123977179147145,-0.316193680186651,-0.218023784582925,-0.117126015231151,-0.198384383441708,-0.197215826667495,-0.0620283064423895,-0.110080998171837,-0.113736866214993,-0.0432472300606892,-0.0150257121198398,-0.209321674667623,-0.116495513050286,-0.0796428959088971,-0.201729925215236,-0.00219018267954808,0.0656325454431333
-0.136100049158208,-0.115090230614271,-0.0914792541799792,-0.0922411917194951,-0.169442778628109,-0.115708183073329,-0.0971258968729434,-0.138927524184172,0.0351679360429177,0.00809170141679017,-0.23732711001472,-0.27773554602896,-0.269901316938791,-0.298070403873954,-0.266673265015029,-0.229683677836222,-0.186544381350026,-0.190979305363765,-0.168447917399987,-0.0989681554010098,-0.0780422281411095,-0.00206876639131461,-0.195615485008384,-0.103759464584456,-0.118521922678755,-0.0566083727148148,-0.110524397395101,-0.0520620659426752,-0.0421867012710684,-0.0584187043118135,0.0216668123604123,-0.085479860070829,-0.11344984524393,-0.131836950035998,-0.304542475609657,-0.194229121627115,-0.105081681502951,-0.24633473549952,-0.213885613203984,-0.0846191005723951,-0.121544033708073,-0.123532117959668,-0.074485693530388,-0.0312125371257724,-0.210627929674681,-0.12975670554414,-0.105618107352998,-0.210368035353812,0.00999246727178498,0.0610209206064976
-0.129723252239321,-0.129080154287104,-0.10246967792287,-0.136182267611571,-0.173802912461217,-0.109547927614192,-0.104685508064273,-0.154304128425468,0.00718168207344967,0.0194722157521234,-0.221587186703467,-0.253605253429733,-0.247532130842208,-0.271107886474508,-0.232137419890017,-0.207430119888456,-0.181966963437617,-0.170898077179057,-0.158318404386736,-0.0806904442978224,-0.018137776106292,-0.0138298835717448,-0.172183393539076,-0.0810627401295986,-0.0881168818419309,-0.054580465803966,-0.111751840957445,-0.0787732620012304,-0.0386489609117354,-0.0693465139614398,0.00955916374619955,-0.0820561205245486,-0.123940238430027,-0.139488471408789,-0.284219033176068,-0.182118546575583,-0.103159028065569,-0.267120208546772,-0.200486391393676,-0.0982745847097694,-0.130046335223883,-0.125776534503856,-0.101603459912505,-0.0472502850729405,-0.207077152345229,-0.1300985414427,-0.129803065619357,-0.216199101134017,0.00842581085827126,0.0486301362440707
-0.123349237766203,-0.137640537255704,-0.12266764137698,-0.172494541296526,-0.171091394659504,-0.105865830153266,-0.134636617338635,-0.161231685028037,-0.0199553761485981,0.0112325942455789,-0.205811980986695,-0.236392248793591,-0.218404074728931,-0.237227456317961,-0.197707540881961,-0.184224653169184,-0.165703725494335,-0.148789638364779,-0.149145554599677,-0.0835958908457324,-0.0362014634071474,-0.0113521563844833,-0.150307929194163,-0.066262000832221,-0.0709934790791742,-0.055655942360325,-0.106507573039798,-0.111226166614802,-0.0546069681203794,-0.069117963996739,-0.0205850512393906,-0.0840574163251823,-0.127070117971541,-0.143104662917171,-0.258489329203945,-0.18450819281685,-0.112050420905734,-0.252892548187368,-0.161499715593322,-0.105087729144154,-0.137098271535013,-0.124278322935653,-0.121772712402939,-0.0623334606352732,-0.204715345897203,-0.12219252713304,-0.14790326431021,-0.219559675351381,0.00120640788433543,0.0299934368288031
-0.103231372869675,-0.136139145575177,-0.130054514200584,-0.181821847896727,-0.163329982256661,-0.10622987903989,-0.151636725014823,-0.157100113304133,-0.0234038296473448,-0.0134426597310691,-0.191587273913604,-0.222513176278088,-0.186934091559876,-0.196608604689447,-0.164173628570951,-0.16225913640554,-0.150217366104675,-0.124884826525776,-0.139730419243399,-0.0985617875888097,-0.0777544137866046,-0.000944611158576403,-0.138372262707519,-0.064511810713934,-0.0679974508828472,-0.0491016675016821,-0.0994693259366762,-0.127480011405313,-0.0641802385380856,-0.0563344970721978,-0.0444511752652663,-0.0768740640587523,-0.122237532793449,-0.13611933746476,-0.229917065250772,-0.192348238940204,-0.125542573659447,-0.230463753251373,-0.123506772026687,-0.111120967203584,-0.14660965054193,-0.123159797556541,-0.131881527103878,-0.0763907370564151,-0.197465060758143,-0.117971233295453,-0.159174504046644,-0.219536536072126,-0.010242320714469,0.0136262249823695
-0.0785823573595191,-0.125607266913456,-0.120385817620907,-0.171599015895842,-0.15127752294885,-0.107022255993115,-0.147500328915712,-0.146029802868913,-0.0126511893363446,-0.0335363421036897,-0.176898344781688,-0.204526364445879,-0.158026497556932,-0.145604489105699,-0.129736261070785,-0.138662764327535,-0.12151179066644,-0.0983992047005432,-0.1248149646262,-0.0972477843158313,-0.0882620161557865,0.0126849241504269,-0.129681807623078,-0.0648662263188982,-0.0677089300649359,-0.0402470731051325,-0.0889008466767183,-0.0946309293988639,-0.0521969601594909,-0.0426450572143194,-0.0531476020512985,-0.0570055687539455,-0.103739570326286,-0.125438699150209,-0.201082668771824,-0.191275242161175,-0.136495208404868,-0.208993512393497,-0.105451258848373,-0.116781615317811,-0.155753851941864,-0.121495396214654,-0.133144928626926,-0.0899638449052044,-0.189094483322284,-0.121946048327867,-0.163926114005677,-0.209820611443626,-0.0177884036346448,0.00644219083737267
-0.0565063838073054,-0.107954850772404,-0.100876797498774,-0.150002497061122,-0.136541470570993,-0.104692918713797,-0.125747857662188,-0.127782443085663,0.00299067885593783,-0.0344921358133276,-0.161559471715165,-0.178446385170007,-0.127116601567274,-0.11406594315079,-0.0900102285415938,-0.113056959444848,-0.0936044829483706,-0.069991441696507,-0.102466075630012,-0.075991631376762,-0.067528788672902,0.0212050158217865,-0.114728362608962,-0.0593935088722965,-0.0628847334071808,-0.0306044181355244,-0.0751375888212713,-0.0544132421392602,-0.0296913302199777,-0.0286207674159103,-0.0550056469450299,-0.0247208271707658,-0.0736644126821886,-0.109362957446732,-0.167069235329535,-0.172895841028833,-0.135187185109226,-0.187896298025753,-0.101338551365181,-0.120851177926452,-0.1579799154617,-0.116307317870511,-0.130414119990569,-0.101136695145609,-0.180440432735909,-0.128460288634975,-0.163119260908403,-0.188647768118419,-0.0232917919102188,0.0059945726850919
-0.0439022451187056,-0.0877037097905588,-0.0863265604612769,-0.123306856652132,-0.11917516407401,-0.0987733554900743,-0.105337891483363,-0.104146171012005,0.0107536682475385,-0.0220292529452441,-0.140206404893702,-0.146455369147416,-0.0933191639558161,-0.0740908361344628,-0.0465503993466552,-0.0837093475018514,-0.0666306153745716,-0.0417595824935262,-0.0746999287959098,-0.0490012852128421,-0.0398418328768503,0.0236526077652622,-0.0760551384182108,-0.0449048532076244,-0.0531887881263014,-0.0248396314349278,-0.0617478778595975,-0.0159959315526157,-0.0111526619373127,-0.0180373003035319,-0.0547380823236334,0.0116469401309094,-0.0373761318472234,-0.0919975027656339,-0.128051901753256,-0.137215688200642,-0.123798576367644,-0.154524383837378,-0.0986518705826841,-0.117072347615471,-0.149510415054558,-0.106196888821926,-0.125289917996782,-0.10697494069599,-0.171104210237138,-0.129514246318232,-0.158857182343476,-0.157452274273022,-0.0242462200883386,0.00814978138279007
-0.0381004665110681,-0.0687851647866442,-0.0774607676982481,-0.093880252139403,-0.0985446500996093,-0.0910533767076062,-0.0924260221161887,-0.0775330009674368,0.0105784916389792,-0.0119026282275549,-0.109837628404595,-0.11064757556596,-0.0562970771157822,-0.0328146216888804,-0.00561235544195217,-0.0514283643888161,-0.0366398175572508,-0.0137644685004548,-0.0464908270139449,-0.0364809272271591,-0.0235518290498148,0.0214386251116231,-0.0383611476112831,-0.0259873926322011,-0.0421583425657415,-0.0181775359506257,-0.0482577381126607,-0.0385558249148416,-0.00647590940372968,-0.0130889339487141,-0.0552790204393962,0.0424702060091197,-0.00560312687837289,-0.0733834832349741,-0.0872025808061914,-0.0933625895184994,-0.110050967628227,-0.109156210185696,-0.0892862400788957,-0.105745384208165,-0.130598508950886,-0.092327288411986,-0.11634477243757,-0.105875828975531,-0.157725838616607,-0.121616828164445,-0.14701796490491,-0.123593769567507,-0.0261147141228405,0.00916049944450668
-0.0347052598590376,-0.0530221251925205,-0.0696884408384964,-0.0681868067354759,-0.0755126602193248,-0.0805298478130255,-0.0840195959501399,-0.05153227963833,0.0058335578608624,-0.0114280469914655,-0.0698416753574927,-0.0730342822107272,-0.0172206838339874,0.0113536548028487,0.0275204313238577,-0.0139755124892942,-0.00266739409793604,0.0130319775185904,-0.0196895072194462,-0.039481173854939,-0.0127076357121428,0.0188101836618007,-0.0127181154650634,-0.00761364945690075,-0.0319421036278337,-0.00743936289834177,-0.033330318771271,-0.0347217551891401,-0.0125520668052442,-0.0106534699386772,-0.0523988516033669,0.0605044752687161,0.011497636768006,-0.0541651499532047,-0.0504041985216788,-0.0489962775334724,-0.0972629985942155,-0.0624060124533303,-0.0713456192894415,-0.0929445379643719,-0.109035418120635,-0.077202330485859,-0.102685463525188,-0.0973960298776069,-0.136872904536441,-0.109519722423077,-0.12942757253419,-0.0910478632132703,-0.0271432006526345,0.00553723086500382
