subject,SD threshold,window size
107_1,-1,900
subject,SD threshold,window size
107_1,-1,900
107_2,-1,1800
107_3,-1,1800
107_4,-1,1800
107_5,-1,900
107_6,-1,900
107_7,-1,900
107_9,-1,900
108_2,-1,5200
108_3,-1,4800
108_7,-1,35000
108_8,-1,37000
109_1,-1,2400
109_2,-1,900
109_3,-1,450
109_4,-1,450
109_5,-1,2400
109_6,-1,1200
109_7,-1,4000
109_8,-1,2400
109_9,-1,900
110_1,-1,900
110_2,-1,2400
110_3,-1,450
110_4,-1,20000
110_5,-1,1800
110_6,-1,1800
110_7,-1,1800
110_8,-1,450
110_9,-1,4800
111_1,-1,900
111_2,-1,10000
111_3,-1,900
111_4,-1,450
111_5,-1,30000
111_6,-1,300
111_7,-1,2400
111_9,-1,3600
112_1,-1,2400
112_2,-1,2400
112_3,-1,900
112_4,-1,450
112_5,-1,1800
112_6,-1,4800
112_7,-1,7200
112_9,-1,1800
113_1,-1,900
113_2,-1,2400
113_3,-1,2400
113_4,-1,3600
113_5,-1,3600
113_6,-1,1800
113_7,-1,1800
113_8,-1,1800
113_9,-1,2400
114_1,-1,450
114_2,-1,300
114_3,-1,300
114_4,-1,300
114_5,-1,20000
114_6,-1,300
114_7,-1,1800
114_8,-1,300
114_9,-1,300
