subject,condition,amplitude,tmax,rt,n_targets,n_hit,n_miss,n_distractors,n_fa,n_cr,isi_power,oddball_power,powerSum
001,acc_oddball,0.914487906107733,1233.33333333333,0.562967899408088,138,90,48,662,3,659,5.66215580573317,0.801576508739021,6.46373231447219
002,acc_oddball,0.642442562523471,1300,0,137,131,6,663,6,657,-1.21669075466724,5.00263161585697,3.78594086118974
003,acc_oddball,0.499926020854735,1300,0.58229570944992,142,122,20,658,13,645,-1.30507967787568,0.626637477028827,-0.678442200846854
005,acc_oddball,1.2235619819428,1800,0.497179164908205,145,90,55,655,8,647,2.05285594556469,2.82904868889549,4.88190463446018
008,acc_oddball,0.925108551331037,1300,0.47228018535329,146,133,13,654,2,652,3.84947848209552,2.01384236510383,5.86332084719935
009,acc_oddball,1.12171599231176,1833.33333333333,0.611342986231466,140,95,45,660,9,651,2.24315947400485,1.17997874847927,3.42313822248412
010,acc_oddball,0.352381807225051,1833.33333333333,0.528486125493662,145,81,64,655,7,648,-0.538226899892811,2.79562733253073,2.25740043263792
011,acc_oddball,0.339967346174784,966.666666666667,0.43187144770616,140,119,21,660,3,657,4.32512399004087,1.11849440367795,5.44361839371883
012,acc_oddball,0.916527452660682,1066.66666666667,0.394075941127895,143,133,10,657,2,655,5.75991525740491,4.79183853798565,10.5517537953906
013,acc_oddball,0.434974143923662,1733.33333333333,0.703034835260041,139,50,89,661,22,639,-1.55332560450442,0.608077606551119,-0.945247997953305
014,acc_oddball,0.476360255226903,1766.66666666667,0.558223910675617,150,74,76,650,26,624,0.379454556161879,-1.31577608100483,-0.936321524842948
015,acc_oddball,1.00258462399339,1533.33333333333,0.560221432718796,140,96,44,660,11,649,3.41208108395238,2.50231478413126,5.91439586808364
016,acc_oddball,1.4071175377676,966.666666666667,0.547473565126232,146,95,51,654,18,636,0.668158605190814,2.90734760288344,3.57550620807425
017,acc_oddball,1.00809825861164,1066.66666666667,0.513609760801739,152,101,51,648,6,642,5.2442570211358,3.65485730531612,8.89911432645192
018,acc_oddball,0.793181599820206,1200,0.593204064079946,143,100,43,657,8,649,4.5489278491308,1.64007222131081,6.18900007044161
021,acc_oddball,0.814438867973071,1133.33333333333,0.550490080520696,142,108,34,658,9,649,1.87589777795294,1.60333775883703,3.47923553678997
022,acc_oddball,0.119341574420779,1366.66666666667,0.503534872456716,144,81,63,656,11,645,1.40724677071131,2.07708129074341,3.48432806145472
