subject,SD threshold,window size
1_listen,-1,900
10_listen,-1,1800
101_listen,-1,2250
102_listen,-1,2100
103_listen,-1,9600
104_listen,-1,3600
106_listen,-1,450
11_listen,-1,450
12_listen,-1,1050
13_listen,-1,1050
14_listen,-1,1050
15_listen,-1,8100
16_listen,-1,3600
17_listen,-1,900
18_listen,-1,450
2_listen,-1,20000
20_listen,-1,900
21_listen,-1,900
22_listen,-1,1800
23_listen,-1,1800
24_listen,-1,900
25_listen,-1,900
26_listen,-1,450
27_listen,-1,900
28_listen,-1,900
29_listen,-1,1800
3_listen,-1,900
30_listen,-1,1200
31_listen,-1,900
32_listen,-1,2400
36_listen,-1,900
37_listen,-1,450
38_listen,-1,1800
39_listen,-1,900
4_listen,-1,900
5_listen,-1,450
54_listen,-1,900
55_listen,-1,1650
56_listen,-1,450
57_listen,-1,750
58_listen,-1,1050
59_listen,-1,4800
60_listen,-1,900
62_listen,-1,4800
63_listen,-1,900
64_listen,-1,1800
65_listen,-1,3600
66_listen,-1,2400
67_listen,-1,450
68_listen,-1,900
69_listen,-1,2400
7_listen,-1,3600
70_listen,-1,900
71_listen,-1,2400
72_listen,-1,1800
73_listen,-1,900
75_listen,-1,900
76_listen,-1,3600
77_listen,-1,2400
78_listen,-1,900
79_listen,-1,4800
8_listen,-1,1800
80_listen,-1,1800
81_listen,-1,1800
82_listen,-1,2400
83_listen,-1,900
86_listen,-1,900
87_listen,-1,900
88_listen,-1,1800
89_listen,-1,3600
9_listen,-1,450
90_listen,-1,1800
91_listen,-1,900
92_listen,-1,1800
93_listen,-1,1800
94_listen,-1,900
95_listen,-1,7200
96_listen,-1,900
97_listen,-1,3600
98_listen,-1,450
