subject,condition,amplitude,tmax,rt,n_targets,n_hit,n_miss,n_distractors,n_fa,n_cr,isi_power,oddball_power,powerSum
001,acc_oddball,0.899834381538704,1266.66666666667,0.562967899408088,138,90,48,662,3,659,5.66215580573317,0.80157650873902,6.46373231447219
002,acc_oddball,0.645014865720239,1300,0,137,131,6,663,6,657,-1.2166907546672,5.00263161585698,3.78594086118978
003,acc_oddball,0.513792317917026,1300,0.58229570944992,142,122,20,658,13,645,-1.30507967787569,0.626637477028827,-0.678442200846859
005,acc_oddball,1.22230929648693,1800,0.497179164908205,145,90,55,655,8,647,2.05285594556469,2.82904868889549,4.88190463446018
008,acc_oddball,0.922516428899407,1300,0.47228018535329,146,133,13,654,2,652,3.84947848209552,2.01384236510383,5.86332084719935
009,acc_oddball,1.13607723641613,1833.33333333333,0.611342986231466,140,95,45,660,9,651,2.24315947400485,1.17997874847927,3.42313822248412
010,acc_oddball,0.360426736007653,1833.33333333333,0.528486125493662,145,81,64,655,7,648,-0.538226899892812,2.79562733253073,2.25740043263792
011,acc_oddball,0.368296928725752,966.666666666667,0.43187144770616,140,119,21,660,3,657,4.32512399004086,1.11849440367795,5.44361839371881
012,acc_oddball,0.895545679741044,1066.66666666667,0.394075941127895,143,133,10,657,2,655,5.75991525740491,4.79183853798565,10.5517537953906
013,acc_oddball,0.438905088590764,1733.33333333333,0.703034835260041,139,50,89,661,22,639,-1.55332560450443,0.608077606551118,-0.945247997953307
014,acc_oddball,0.471636044434016,1766.66666666667,0.558223910675617,150,74,76,650,26,624,0.37945455616188,-1.31577608100483,-0.936321524842946
015,acc_oddball,0.986014796349674,1533.33333333333,0.560221432718796,140,96,44,660,11,649,3.41208108395238,2.50231478413127,5.91439586808365
016,acc_oddball,1.41622075748401,966.666666666667,0.547473565126232,146,95,51,654,18,636,0.668158605190816,2.90734760288344,3.57550620807425
017,acc_oddball,1.00006937510663,1066.66666666667,0.513609760801739,152,101,51,648,6,642,5.2442570211358,3.65485730531612,8.89911432645192
018,acc_oddball,0.812730435153088,1200,0.593204064079946,143,100,43,657,8,649,4.54892784913081,1.64007222131081,6.18900007044161
021,acc_oddball,0.807767561856417,1133.33333333333,0.550490080520696,142,108,34,658,9,649,1.87589777795294,1.60333775883704,3.47923553678999
022,acc_oddball,0.134530700239704,1366.66666666667,0,137,131,6,663,6,657,1.40724677071131,2.07708129074341,3.48432806145472
023,acc_oddball,1.11886123760954,1066.66666666667,0.461842054403853,146,125,21,654,3,651,2.52716489250055,3.65037441890953,6.17753931141007
027,acc_oddball,1.24933951358176,1700,0.538353951290594,146,86,60,654,12,642,2.41689807176631,3.06521383642557,5.48211190819188
028,acc_oddball,0.203905836456734,1266.66666666667,0.61596213859555,144,57,87,656,32,624,1.25525053414501,2.04754902611386,3.30279956025887
029,acc_oddball,0.752700593929821,1700,0.604774614767839,146,97,49,654,16,638,-0.527234625505109,2.0514680223458,1.52423339684069
030,acc_oddball,1.23867594836432,1766.66666666667,0.527870719360587,145,123,22,655,10,645,1.78121274730322,3.83200080256524,5.61321354986846
031,acc_oddball,0.685650926894054,1666.66666666667,0.503414875308942,143,126,17,657,12,645,5.34186579562023,0.7505824358336,6.09244823145383
032,acc_oddball,0.416928565507047,1066.66666666667,0.600984889879243,145,86,59,655,56,599,1.25350772132932,2.07211916453685,3.32562688586617
034,acc_oddball,0.477994340518568,2400,0.509735339657009,135,78,57,665,4,661,3.54576913695949,-0.428975929219573,3.11679320773992
036,acc_oddball,0.560556921778016,1433.33333333333,0.513680463050851,140,61,79,660,25,635,2.25470375647835,2.39941217212465,4.654115928603
037,acc_oddball,0.687894466930039,1166.66666666667,0.498866799483949,141,72,69,659,7,652,0.552700892447422,-0.512575383948608,0.0401255084988141
038,acc_oddball,0.309208239159557,1633.33333333333,0.522690464549907,148,107,41,652,1,651,1.23465232005157,3.15069185575072,4.38534417580229
039,acc_oddball,0.448846687491523,1033.33333333333,0.471121705877984,145,123,22,655,43,612,2.79471713430922,0.614659203059257,3.40937633736847
053,acc_oddball,0.950690450425489,1700,0.509058358226163,142,84,58,658,7,651,3.23819200508812,0.393284134559913,3.63147613964803
054,acc_oddball,0.632304125604438,900,0.431372952885004,150,138,12,650,2,648,1.25479903705381,2.05953936546884,3.31433840252265
055,acc_oddball,1.07754301730015,1166.66666666667,0.497616750378051,141,124,17,659,64,595,2.63268345170179,2.93386341769574,5.56654686939753
056,acc_oddball,0.558881780153251,1066.66666666667,0.479524329992138,141,108,33,659,11,648,0.177254073116357,0.567882167877153,0.74513624099351
057,acc_oddball,0.604645117349436,1066.66666666667,0.527480709778266,141,108,33,659,13,646,3.26830194401334,2.49310803990625,5.76140998391959
058,acc_oddball,0.772647159009139,1433.33333333333,0.577342178141628,149,99,50,651,25,626,0.137786772686556,0.27971338416898,0.417500156855536
059,acc_oddball,0.692472992793586,2100,0.661444202696381,146,56,90,654,16,638,1.08520595596787,1.41612429307607,2.50133024904394
060,acc_oddball,1.43070700835864,1566.66666666667,0.497463323371007,141,105,36,659,8,651,5.41816960694022,5.02003820493349,10.4382078118737
061,acc_oddball,1.08798540680905,1466.66666666667,0.551656813202365,147,95,52,653,18,635,3.57174239226416,1.93185862167866,5.50360101394282
063,acc_oddball,1.55768452401028,1833.33333333333,0.58730658062708,145,86,59,655,0,655,3.50880959229508,5.0150498163747,8.52385940866978
064,acc_oddball,0.437116085449521,1266.66666666667,0.480484786569529,138,90,48,662,35,627,1.03300138865523,1.70690991713356,2.73991130578879
065,acc_oddball,0.575725650884585,1000,0.407144236291267,146,141,5,654,1,653,2.62662849924977,0.555396979347316,3.18202547859709
067,acc_oddball,1.10247428833535,1366.66666666667,0.501427399558856,143,108,35,657,5,652,4.83873283398614,5.22452352675484,10.063256360741
068,acc_oddball,1.05591791576525,1166.66666666667,0.542944323352363,147,105,42,653,2,651,5.00182424579774,4.00064357246787,9.0024678182656
069,acc_oddball,0.767501314523295,1466.66666666667,0.431814958358154,148,120,28,652,33,619,5.10961578841621,0.137520300538869,5.24713608895508
070,acc_oddball,0.964224739279358,1833.33333333333,0.467651202145805,143,95,48,657,15,642,3.94955093751502,-0.854991007494324,3.09455993002069
071,acc_oddball,0.720810173992837,1300,0.477328078542766,145,103,42,655,44,611,1.26294944433188,1.59755674261892,2.86050618695079
072,acc_oddball,0.176042430965827,900,0.505730320202842,140,84,56,660,22,638,1.5128928060238,-0.364188236581962,1.14870456944184
073,acc_oddball,1.05539492521818,1466.66666666667,0.667411033644688,147,48,99,653,10,643,-0.0352942608444402,3.66212990686959,3.62683564602515
