subject,SD threshold,window size
1_oddball,-1,2400
10_oddball,-1,5600
100_oddball,-1,2400
101_oddball,-1,3600
102_oddball,-1,3600
103_oddball,-1,1000
105_oddball,-1,6000
106_oddball,-1,900
11_oddball,-1,450
12_oddball,-1,2400
13_oddball,-1,4800
14_oddball,-1,750
15_oddball,-1,3000
16_oddball,-1,1050
17_oddball,-1,900
18_oddball,-1,3000
2_oddball,-1,30000
21_oddball,-1,450
22_oddball,-1,9600
23_oddball,-1,900
27_oddball,-1,900
28_oddball,-1,20000
29_oddball,-1,5250
3_oddball,-1,3450
30_oddball,-1,900
31_oddball,-1,1800
32_oddball,-1,30000
33_oddball,-1,3000
34_oddball,-1,4800
36_oddball,-1,3000
37_oddball,-1,1500
38_oddball,-1,900
39_oddball,-1,900
5_oddball,-1,1950
53_oddball,-1,7200
54_oddball,-1,3600
55_oddball,-1,3600
56_oddball,-1,450
57_oddball,-1,2100
58_oddball,-1,3600
59_oddball,-1,15200
6_oddball,-1,1000
60_oddball,-1,900
61_oddball,-1,1050
62_oddball,-1,1800
63_oddball,-1,2550
64_oddball,-1,8400
65_oddball,-1,1650
66_oddball,-1,10800
67_oddball,-1,450
68_oddball,-1,2100
69_oddball,-1,1800
70_oddball,-1,2400
71_oddball,-1,2400
72_oddball,-1,1800
73_oddball,-1,6000
74_oddball,-1,1000
75_oddball,-1,1500
76_oddball,-1,13200
77_oddball,-1,4800
78_oddball,-1,1800
79_oddball,-1,900
8_oddball,-1,1800
80_oddball,-1,6000
81_oddball,-1,19200
82_oddball,-1,3600
83_oddball,-1,450
84_oddball,0,12000
85_oddball,0,6000
86_oddball,-1,900
87_oddball,-1,450
88_oddball,-1,900
89_oddball,-1,4800
9_oddball,-1,1500
90_oddball,-1,1800
91_oddball,0,2400
92_oddball,-1,12000
93_oddball,-1,1800
94_oddball,-1,450
95_oddball,-1,6000
96_oddball,-1,1800
97_oddball,-1,2400
98_oddball,-1,1000
99_oddball,-1,1000
