RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Annotation Name	Annotation Description	Annotation Tags
3021397.1	09:41:45:083	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.8	2.9	-	-	-
3021430.1	09:41:45:116	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.8	2.9	-	-	-
3021463.4	09:41:45:149	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	2.9	-	-	-
3021496.8	09:41:45:183	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021529.9	09:41:45:216	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.8	2.9	-	-	-
3021563.2	09:41:45:249	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.8	2.9	-	-	-
3021596.5	09:41:45:282	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021629.6	09:41:45:316	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021663.0	09:41:45:349	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021696.1	09:41:45:382	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021729.4	09:41:45:415	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021762.7	09:41:45:449	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021796.0	09:41:45:482	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021829.2	09:41:45:515	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021862.4	09:41:45:548	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021895.7	09:41:45:582	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021928.9	09:41:45:615	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021962.1	09:41:45:648	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3021995.4	09:41:45:681	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022028.8	09:41:45:715	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022061.9	09:41:45:748	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022095.4	09:41:45:781	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022128.4	09:41:45:814	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022161.6	09:41:45:848	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022194.9	09:41:45:881	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022228.1	09:41:45:914	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022261.4	09:41:45:947	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022294.7	09:41:45:981	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022327.9	09:41:46:014	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022361.1	09:41:46:047	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022394.5	09:41:46:080	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022427.7	09:41:46:114	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022460.9	09:41:46:147	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022494.2	09:41:46:180	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022527.4	09:41:46:213	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022560.7	09:41:46:247	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022594.1	09:41:46:280	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022627.2	09:41:46:313	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	1	2.9	3.0	-	-	-
3022660.6	09:41:46:346	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	-	-	2.9	3.0	-	-	-
3022693.8	09:41:46:380	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.9	3.0	-	-	-
3022727.0	09:41:46:413	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.9	3.0	-	-	-
3022760.1	09:41:46:446	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.9	3.0	-	-	-
3022793.5	09:41:46:479	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.9	3.1	-	-	-
3022826.7	09:41:46:513	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	0.0	0.0	-	-	-
3022860.0	09:41:46:546	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	0.0	0.0	-	-	-
3022893.2	09:41:46:579	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	0.0	0.0	-	-	-
3022926.4	09:41:46:612	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.6	2.7	-	-	-
3022959.6	09:41:46:646	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.8	3.0	-	-	-
3022992.9	09:41:46:679	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.6	3.0	-	-	-
3023026.1	09:41:46:712	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Blink	1	2.8	3.0	-	-	-
3023059.4	09:41:46:745	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.8	3.0	-	-	-
3023092.6	09:41:46:779	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023125.9	09:41:46:812	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023159.2	09:41:46:845	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023192.4	09:41:46:878	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023225.7	09:41:46:912	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023258.9	09:41:46:945	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.0	-	-	-
3023292.1	09:41:46:978	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.1	-	-	-
3023325.4	09:41:47:011	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.1	-	-	-
3023358.6	09:41:47:045	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.1	-	-	-
3023391.9	09:41:47:078	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	2	2.9	3.1	-	-	-
3023425.1	09:41:47:111	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Saccade	1	2.9	3.1	-	-	-
3023458.5	09:41:47:144	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Saccade	1	2.9	3.1	-	-	-
3023491.7	09:41:47:178	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.1	-	-	-
3023525.0	09:41:47:211	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.1	-	-	-
3023558.2	09:41:47:244	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023591.6	09:41:47:277	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023624.7	09:41:47:311	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023658.1	09:41:47:344	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.1	-	-	-
3023691.3	09:41:47:377	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.8	3.1	-	-	-
3023724.4	09:41:47:410	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.8	3.0	-	-	-
3023757.7	09:41:47:444	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023790.9	09:41:47:477	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023824.1	09:41:47:510	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023857.5	09:41:47:543	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023890.7	09:41:47:577	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023923.9	09:41:47:610	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023957.2	09:41:47:643	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3023990.5	09:41:47:676	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024023.7	09:41:47:710	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024056.9	09:41:47:743	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024090.4	09:41:47:776	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024123.4	09:41:47:809	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024156.8	09:41:47:843	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024190.1	09:41:47:876	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024223.1	09:41:47:909	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024256.4	09:41:47:942	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024289.8	09:41:47:976	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024322.9	09:41:48:009	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.0	-	-	-
3024356.3	09:41:48:042	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.1	-	-	-
3024389.4	09:41:48:075	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	2.9	3.1	-	-	-
3024422.6	09:41:48:109	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.0	-	-	-
3024455.9	09:41:48:142	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.1	-	-	-
3024489.4	09:41:48:175	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.0	-	-	-
3024522.5	09:41:48:208	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.0	-	-	-
3024555.9	09:41:48:242	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.1	-	-	-
3024588.9	09:41:48:275	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.0	-	-	-
3024622.2	09:41:48:308	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.0	-	-	-
3024655.4	09:41:48:341	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	3	3.0	3.1	-	-	-
3024688.8	09:41:48:375	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Saccade	2	3.0	3.1	-	-	-
3024721.9	09:41:48:408	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Saccade	2	3.0	3.1	-	-	-
3024755.2	09:41:48:441	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	4	3.0	3.1	-	-	-
3024788.6	09:41:48:474	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	4	3.0	3.1	-	-	-
3024821.7	09:41:48:508	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	4	3.0	3.0	-	-	-
3024855.1	09:41:48:541	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	4	3.0	3.1	-	-	-
3024888.3	09:41:48:574	Trial001	8_listen-3-recording.avi	0.0	701082.7	8_listen	DarkOrange	89.7	Eye	Visual Intake	4	3.0	3.1	-	-	-
