RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Annotation Name	Annotation Description	Annotation Tags
2904374.4	10:39:18:369	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	1	3.1	3.3	-	-	-
2904407.8	10:39:18:402	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	1	3.1	3.3	-	-	-
2904441.1	10:39:18:436	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	1	3.1	3.3	-	-	-
2904474.2	10:39:18:469	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	1	3.1	3.3	-	-	-
2904507.4	10:39:18:502	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	1	3.2	3.3	-	-	-
2904540.7	10:39:18:535	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Saccade	1	3.1	3.3	-	-	-
2904574.1	10:39:18:569	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Saccade	1	3.1	3.3	-	-	-
2904607.3	10:39:18:602	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	-	-	3.2	3.3	-	-	-
2904640.4	10:39:18:635	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.3	-	-	-
2904673.7	10:39:18:668	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.3	-	-	-
2904706.9	10:39:18:702	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.4	-	-	-
2904740.1	10:39:18:735	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.3	-	-	-
2904773.4	10:39:18:768	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.4	-	-	-
2904806.7	10:39:18:801	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.4	-	-	-
2904839.9	10:39:18:835	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.3	-	-	-
2904873.1	10:39:18:868	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.3	-	-	-
2904906.4	10:39:18:901	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.3	-	-	-
2904939.7	10:39:18:934	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2904973.0	10:39:18:968	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.3	-	-	-
2905006.4	10:39:19:001	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.3	-	-	-
2905039.4	10:39:19:034	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905072.8	10:39:19:067	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.1	3.4	-	-	-
2905106.1	10:39:19:101	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905139.2	10:39:19:134	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905172.5	10:39:19:167	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905205.7	10:39:19:200	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905239.1	10:39:19:234	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905272.2	10:39:19:267	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	2	3.2	3.4	-	-	-
2905305.6	10:39:19:300	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.2	3.4	-	-	-
2905338.7	10:39:19:333	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.4	-	-	-
2905372.1	10:39:19:367	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.3	-	-	-
2905405.3	10:39:19:400	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.3	-	-	-
2905438.4	10:39:19:433	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	0.0	0.0	-	-	-
2905471.7	10:39:19:466	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	0.0	0.0	-	-	-
2905504.9	10:39:19:500	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	0.0	0.0	-	-	-
2905538.2	10:39:19:533	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	0.0	0.0	-	-	-
2905571.6	10:39:19:566	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	0.0	0.0	-	-	-
2905604.8	10:39:19:599	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.0	3.3	-	-	-
2905638.1	10:39:19:633	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.3	-	-	-
2905671.4	10:39:19:666	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.3	-	-	-
2905704.5	10:39:19:699	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Blink	1	3.1	3.3	-	-	-
2905737.7	10:39:19:732	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	3	3.1	3.3	-	-	-
2905770.9	10:39:19:766	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	3	3.1	3.3	-	-	-
2905804.2	10:39:19:799	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	3	3.1	3.3	-	-	-
2905837.6	10:39:19:832	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	3	3.1	3.3	-	-	-
2905870.7	10:39:19:865	Trial001	6_listen-2-recording.avi	0.0	693402.2	6_listen	DarkOrange	68.6	Eye	Visual Intake	3	3.1	3.3	-	-	-
