RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Annotation Name	Annotation Description	Annotation Tags
3391924.0	14:55:24:469	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.2	3.1	-	-	-
3391957.4	14:55:24:502	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3391990.6	14:55:24:536	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392023.8	14:55:24:569	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392057.2	14:55:24:602	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392090.4	14:55:24:635	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392123.6	14:55:24:669	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392156.8	14:55:24:702	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392190.1	14:55:24:735	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392223.3	14:55:24:768	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392256.6	14:55:24:802	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.1	-	-	-
3392289.9	14:55:24:835	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.0	-	-	-
3392323.2	14:55:24:868	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.0	-	-	-
3392356.3	14:55:24:901	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.0	-	-	-
3392389.6	14:55:24:935	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	1	3.1	3.0	-	-	-
3392422.9	14:55:24:968	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	-	-	3.1	3.0	-	-	-
3392456.2	14:55:25:001	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	-	-	2.8	3.1	-	-	-
3392489.4	14:55:25:034	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392522.7	14:55:25:068	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392555.9	14:55:25:101	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392589.3	14:55:25:134	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392622.4	14:55:25:167	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392655.7	14:55:25:201	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392689.0	14:55:25:234	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392722.2	14:55:25:267	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392755.4	14:55:25:300	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392788.6	14:55:25:334	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392821.9	14:55:25:367	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392855.1	14:55:25:400	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392888.5	14:55:25:433	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3392921.7	14:55:25:467	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	2.9	3.2	-	-	-
3392954.8	14:55:25:500	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.2	3.2	-	-	-
3392988.3	14:55:25:533	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.2	3.4	-	-	-
3393021.4	14:55:25:566	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.3	3.5	-	-	-
3393054.7	14:55:25:600	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.3	3.5	-	-	-
3393088.1	14:55:25:633	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.4	3.5	-	-	-
3393121.1	14:55:25:666	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.1	3.7	-	-	-
3393154.4	14:55:25:699	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	3.5	-	-	-
3393187.8	14:55:25:733	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.1	3.7	-	-	-
3393220.9	14:55:25:766	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.1	3.6	-	-	-
3393254.2	14:55:25:799	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3393287.5	14:55:25:832	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3393320.8	14:55:25:866	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	0.0	0.0	-	-	-
3393353.9	14:55:25:899	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	2.9	2.9	-	-	-
3393387.1	14:55:25:932	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	2.9	3.3	-	-	-
3393420.5	14:55:25:966	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Blink	1	3.3	3.2	-	-	-
3393453.6	14:55:25:999	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	2	3.2	3.2	-	-	-
3393487.1	14:55:26:032	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	2	3.3	3.2	-	-	-
3393520.1	14:55:26:065	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	2	3.3	3.2	-	-	-
3393553.4	14:55:26:098	Trial001	7_listen-2-recording.avi	0.0	723399.7	7_listen	DarkGreen	83.8	Eye	Visual Intake	2	3.3	3.2	-	-	-
