RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Annotation Name	Annotation Description	Annotation Tags
3117417.0	17:28:27:546	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.2	3.5	-	-	-
3117450.3	17:28:27:579	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.3	3.5	-	-	-
3117483.5	17:28:27:613	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.2	3.4	-	-	-
3117516.9	17:28:27:646	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.1	3.4	-	-	-
3117550.0	17:28:27:679	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.2	3.4	-	-	-
3117583.2	17:28:27:712	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.1	3.4	-	-	-
3117616.6	17:28:27:746	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.0	3.4	-	-	-
3117649.7	17:28:27:779	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.1	3.4	-	-	-
3117683.0	17:28:27:812	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.1	3.4	-	-	-
3117716.2	17:28:27:845	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.0	3.4	-	-	-
3117749.5	17:28:27:878	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.0	3.4	-	-	-
3117782.7	17:28:27:912	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	3.0	3.4	-	-	-
3117816.1	17:28:27:945	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.4	-	-	-
3117849.2	17:28:27:978	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.3	-	-	-
3117882.6	17:28:28:012	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.3	-	-	-
3117915.9	17:28:28:045	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.3	-	-	-
3117949.0	17:28:28:078	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.3	-	-	-
3117982.4	17:28:28:111	Trial001	5_listen-2-recording.avi	0.0	686118.1	5_listen	DarkMagenta	94.6	Eye	Visual Intake	1	2.9	3.3	-	-	-
